"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM","# of Units","Change Date"
"","21","CV19173958MR","487","INC","S","1173   Briarcroft RD ","CLAREMONT","","3.00 (0 0 0 0)","2,503","$305.63","$765,000","$760,000","$0.00","10,270","1956","11","2","08/29/2019"
"","17","CV19178296MR","1795","INC","S","2595   Blanchard  ","UPLAND","","2.00 (0 0 0 0)","1,025","$408.78","$419,000","$420,000","","7,200","1935","7","2","10/11/2019"
"","6","CV19186425MR","1455","INC","S","9594   Central AVE ","MONTCLAIR","","2.00 (0 0 0 0)","1,600","$281.19","$449,900","$420,000","$0.00","7,875","1954","108","3","03/20/2020"
"","2","CV19199676MR","1543","INC","S","214  W Sunkist ST ","ONTARIO","","4.00 (0 0 0 0)","1,714","$309.22","$530,000","$535,000","$0.00","7,200","1933","65","4","12/24/2019"
"","19","CV19212528MR","469","INC","S","1122  E 7th ST ","POMONA","","2.00 (0 0 0 0)","1,696","$271.23","$460,000","$468,000","$0.00","6,642","1961","60","2","12/23/2019"
"","19","CV19214865MR","1543","INC","S","1091   Nocta  ","ONTARIO","","1.00 (0 0 0 0)","2,312","$227.08","$525,000","$525,000","","6,192","1955","9","3","11/01/2019"
"","1","CV19216313MR","1543","INC","S","1010   w Granada CT ","ONTARIO","","2.00 (0 0 0 0)","1,650","$257.58","$425,000","$425,000","$0.00","5,712","1959","3","2","10/01/2019"
"","15","CV19217168MR","469","INC","S","1148  W Grand AVE ","POMONA","","7.00 (0 0 0 0)","6,750","$340.74","$2,300,000","$2,200,000","$0.00","37,419","1968","70","11","02/11/2020"
"","4","CV19219472MR","469","INC","S","607  E Alvarado ST ","POMONA","4","3.00 (3 0 0 0)","2,346","$221.65","$520,000","$525,000","$0.00","7,617","1894","12","","10/17/2019"
"","41","CV19235616MR","487","INC","S","535   Yale AVE ","CLAREMONT","","2.00 (0 0 0 0)","1,455","$549.14","$799,000","$790,000","","7,500","1939","5","2","10/31/2019"
"","24","CV19239895MR","487","INC","S","757  W 1st ST ","CLAREMONT","","3.00 (0 0 0 0)","1,450","$451.72","$655,000","$640,000","$310.00","32,006","2004","63","1","03/05/2020"
"","22","CV19243722MR","1627","INC","S","8183   San Bernardino RD ","RANCHO CUCAMONGA","2","3.00 (1 1 1 0)","2,736","$237.57","$650,000","$600,000","$0.00","7,131","1979","17","","01/07/2020"
"","22","CV19244552MR","1627","INC","S","8183   San Bernardino RD ","RANCHO CUCAMONGA","2","6.00 (1 1 1 0)","2,736","$237.57","$650,000","$600,000","$0.00","7,131","1979","17","2","01/07/2020"
"","11","CV19247986MR","1795","INC","S","1024  W Pine ST ","UPLAND","","7.00 (0 0 0 0)","3,732","$304.13","$1,135,000","$975,000","","7,800","1970","67","4","01/22/2020"
"","12","CV19248721MR","1543","INC","S","560  W Vesta ST ","ONTARIO","","2.00 (0 0 0 0)","4,352","$289.52","$1,260,000","$1,290,000","","16,011","1948","13","7","12/17/2019"
"","7","CV19249164MR","1543","INC","S","619  W Nevada ST ","ONTARIO","","3.00 (0 0 0 0)","1,860","$348.92","$649,000","$625,000","$0.00","6,966","1977","11","3","12/22/2019"
"","4","CV19249886MR","469","INC","S","841  N Gibbs ST ","POMONA","","3.00 (0 0 0 0)","2,121","$240.45","$510,000","$521,000","","7,526","1922","6","3","12/05/2019"
"","23","CV19254298MR","1795","INC","S","262  S 1st AVE ","UPLAND","","2.00 (0 0 0 0)","1,668","$356.71","$595,000","$580,000","$0.00","7,000","1947","7","2","11/29/2019"
"","5","CV19255040MR","469","INC","S","1379  S Gibbs ST ","POMONA","","4.00 (0 0 0 0)","3,360","$230.65","$775,000","$750,000","","19,852","1958","13","3","12/20/2019"
"","39","CV19256051MR","487","INC","S","471   Harrison AVE ","CLAREMONT","","4.00 (0 0 0 0)","1,737","$515.26","$895,000","$925,000","","9,688","1927","5","2","12/20/2019"
"","4","CV19256097MR","1795","INC","S","1064  W Pine ST ","UPLAND","","6.00 (0 0 0 0)","3,732","$261.25","$975,000","$950,000","","7,800","1971","3","4","12/12/2019"
"","23","CV19258351MR","1795","INC","S","935   Springfield ST ","UPLAND","","5.00 (0 0 0 0)","4,028","$260.68","$1,050,000","$1,050,000","$0.00","7,800","1966","109","4","02/25/2020"
"","22","CV19264930MR","1455","INC","S","4265   Kingsley ST ","MONTCLAIR","","4.00 (0 0 0 0)","3,994","$191.54","$765,000","$765,000","$0.00","7,128","1963","18","4","01/08/2020"
"","35","CV19272692MR","1543","INC","S","317  E Ralston ST #A-B","ONTARIO","","4.00 (0 0 0 0)","3,521","$193.13","$680,000","$650,000","$0.00","6,200","1984","7","3","01/07/2020"
"","8","CV19284002MR","469","INC","S","285  W Center ST ","POMONA","","9.00 (0 0 0 0)","5,625","$264.69","$1,488,888","$1,420,000","","7,481","1914","60","9","03/09/2020"
"","10","CV20004958MR","469","INC","S","2551   Yorkshire WAY ","POMONA","","6.00 (0 0 0 0)","3,756","$206.07","$774,000","$790,000","","9,212","1964","91","3","04/28/2020"
"","10","CV20005268MR","469","INC","S","637  W 9th ST ","POMONA","","2.00 (0 0 0 0)","1,604","$296.13","$475,000","$450,000","","5,128","1960","76","2","04/24/2020"
"","10","CV20006418MR","1627","INC","S","9659   Seasons DR ","RANCHO CUCAMONGA","","4.00 (0 0 0 0)","3,440","$188.95","$650,000","$650,000","$176.00","7,488","2013","4","1","03/03/2020"
