"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM","# of Units","Change Date"
"","","COMP23125973","469","INC","S","1014  W 4TH ST ","POMONA","2","2.00 (2 0 0 0)","1,208","$405.63","$490,000","$490,000","","5,806","1951","0","2","03/07/2023"
"","","COMP23126556","469","INC","S","1024  W GRAND AVE ","POMONA","6","3.00 (3 0 0 0)","2,232","$268.82","$600,000","$600,000","","9,442","1962","0","3","04/03/2023"
"","","COMP23126670","469","INC","S","1060  W MISSION BLVD ","POMONA","8","6.00 (6 0 0 0)","4,166","$360.06","$1,500,000","$1,500,000","","87,535","1906","0","5","04/03/2023"
"","","COMP23126927","469","INC","S","638  W 4TH ST ","POMONA","4","3.00 (3 0 0 0)","2,001","$799.60","$1,600,000","$1,600,000","","7,952","1917","0","3","04/17/2023"
"","","COMP23126955","469","INC","S","631  W MISSION BLVD ","POMONA","","3.00 (3 0 0 0)","1,369","$1,168.74","$1,600,000","$1,600,000","","6,792","1907","0","2","04/17/2023"
"","","COMP23126957","487","INC","S","230  W 11TH ST ","CLAREMONT","4","3.00 (3 0 0 0)","2,126","$505.64","$1,075,000","$1,075,000","","7,500","1958","0","2","04/17/2023"
"","","COMP23128838","487","INC","S","917   ALAMOSA DR ","CLAREMONT","6","8.00 (8 0 0 0)","7,688","$338.19","$2,600,000","$2,600,000","","56,038","1992","0","2","07/10/2023"
"","","COMP23129839","487","INC","S","514   YALE AVE ","CLAREMONT","2","2.00 (2 0 0 0)","1,134","$1,940.04","$2,200,000","$2,200,000","","2,434","1957","0","2","09/11/2023"
"","","COMP23130011","469","INC","S","754   BRADFORD ST ","POMONA","3","3.00 (3 0 0 0)","1,776","$1,258.45","$2,235,000","$2,235,000","","5,234","1938","0","3","09/11/2023"
"","","COMP23130058","469","INC","S","202   SAN FRANCISCO AVE ","POMONA","6","6.00 (6 0 0 0)","3,436","$650.47","$2,235,000","$2,235,000","","12,686","1923","0","6","09/11/2023"
"","","COMP23130091","469","INC","S","1385  S HAMILTON BLVD ","POMONA","8","3.00 (3 0 0 0)","3,032","$296.83","$900,000","$900,000","","10,196","1963","0","3","09/25/2023"
"","","COMP23130331","469","INC","S","1423  S HAMILTON BLVD ","POMONA","3","2.00 (2 0 0 0)","1,746","$500","$873,000","$873,000","","11,940","1959","0","2","09/25/2023"
"","","COMP23130779","469","INC","S","658  E 8TH ST ","POMONA","6","6.00 (6 0 0 0)","2,772","$304.83","$845,000","$845,000","","7,745","1959","0","6","10/30/2023"
"","","COMP23131424","469","INC","S","1445  S GIBBS ST ","POMONA","9","5.00 (5 0 0 0)","4,028","$265.64","$1,070,000","$1,070,000","","18,046","1963","0","4","11/20/2023"
"","","COMP23131606","487","INC","S","628   BLANCHARD PL ","CLAREMONT","3","2.00 (2 0 0 0)","1,456","$659.34","$960,000","$960,000","","9,472","1950","0","2","12/11/2023"
"","","COMP23131961","469","INC","S","540  E KINGSLEY AVE ","POMONA","3","2.00 (2 0 0 0)","2,142","$266.11","$570,000","$570,000","","11,689","1921","0","2","12/21/2023"
"","","COMP24133003","487","INC","S","1360   OXFORD AVE ","CLAREMONT","24","32.00 (32 0 0 0)","12,798","$168.78","$2,160,000","$2,160,000","","26,087","1978","0","12","02/06/2024"
"","","COMP24133521","469","INC","S","725  N GORDON ST ","POMONA","5","4.00 (4 0 0 0)","2,764","$150.14","$415,000","$415,000","","11,743","1897","0","4","02/27/2024"
